Target,Scenario,Year,Forecast (%),Lower Bound,Upper Bound,Range
ACCESS,Optimistic,2025,55.46666666666667,52.46666666666667,58.46666666666667,52.5 - 58.5
ACCESS,Optimistic,2026,59.695238095238096,56.695238095238096,62.695238095238096,56.7 - 62.7
ACCESS,Optimistic,2027,63.923809523809524,60.923809523809524,66.92380952380952,60.9 - 66.9
ACCESS,Base,2025,55.46666666666667,52.46666666666667,58.46666666666667,52.5 - 58.5
ACCESS,Base,2026,59.695238095238096,56.695238095238096,62.695238095238096,56.7 - 62.7
ACCESS,Base,2027,63.923809523809524,60.923809523809524,66.92380952380952,60.9 - 66.9
ACCESS,Pessimistic,2025,55.46666666666667,52.46666666666667,58.46666666666667,52.5 - 58.5
ACCESS,Pessimistic,2026,59.695238095238096,56.695238095238096,62.695238095238096,56.7 - 62.7
ACCESS,Pessimistic,2027,63.923809523809524,60.923809523809524,66.92380952380952,60.9 - 66.9
